track_id,track_name,artist,genre,release_year,danceability,energy,tempo,streams
1,Shadow Night,Thomas Mendoza,R&B,2003,0.596,0.486,121,2159557
2,Fire Light,Steven Gonzalez,Rock,2005,0.298,0.838,157,2876402
3,Fire Light,Teresa Gordon,Rock,2018,0.565,1,134,2148949
4,Shadow Love,Diane Best,Alternative,2014,0.853,0.658,92,2958758
5,Sky Broken,Denise Bowman,Electronic,2021,0.834,0.759,129,5926768
6,Paradise Broken,Angelica Crawford,R&B,2003,0.466,0.486,148,6165395
7,Paradise Sky,Rebecca Hamilton,Electronic,2016,0.762,0.899,109,3945057
8,Night Night,Mary Moore,Electronic,2007,0.779,0.841,118,2631468
9,Sky Sky,Jason Robinson,Hip-Hop,2012,0.79,0.415,134,6108407
10,Broken Sky,Anne Cummings,Pop,2012,0.485,0.811,153,3292393
11,Heart Paradise,Gabrielle Perez,Pop,2007,0.649,0.924,131,5627401
12,Paradise Light,Benjamin Ramirez,Hip-Hop,2015,0.775,0.426,136,4511713
13,Heart Light,Christina Cruz,Pop,2014,0.728,0.673,69,2852650
14,Love Broken,Adam Diaz,Rock,2015,0.536,0.86,127,1695310
15,Lonely Paradise,Sheryl Davis,R&B,2011,0.686,0.451,118,3683131
16,Light Shadow,Eugene Mueller,Soul,2004,0.474,0.413,85,2917883
17,Forever Dream,Joshua Jacobson,Soul,2018,0.505,0.313,120,1617363
18,Heart Lonely,Sean Grant,Rock,2005,0.305,0.737,109,2420875
19,Heart Heart,Makayla Gomez,Hip-Hop,2023,0.764,0.706,142,5160925
20,Shadow Paradise,Marisa Stone,Rock,2023,0.549,0.978,141,7224012
21,Broken Night,Holly Thomas,Pop,2011,0.912,0.68,52,3001451
22,Forever Love,Thomas Wagner,Rock,2002,0.395,0.672,121,1165826
23,Fire Broken,Brian Pena,Alternative,2023,0.906,0.487,122,2230078
24,Heart Shadow,Robin Sullivan,R&B,2010,0.656,0.609,121,1953397
25,Sky Shadow,Megan Jones,Hip-Hop,2004,0.602,0.772,132,1495244
26,Light Lonely,Crystal Hughes,Pop,2022,0.44,0.859,90,1505934
27,Shadow Paradise,Eric Weaver,R&B,2002,0.374,0.148,108,4236889
28,Shadow Shadow,Jonathan Long,R&B,2006,0.084,0.354,128,4828940
29,Fire Fire,Charles Tran,R&B,2015,0.717,0.574,118,2153812
30,Fire Sky,Michelle Lee,Soul,2023,0.252,0.388,96,3703704
31,Heart Broken,Carol Thompson,Soul,2006,0.553,0.392,76,9636349
32,Night Light,Elizabeth Rivera,Alternative,2008,0.476,0.317,147,2625826
33,Sky Fire,Jennifer Bell,Rock,2014,0.613,0.702,103,1714487
34,Dream Love,Sara Rogers,Electronic,2003,0.982,0.929,112,4196229
35,Dream Heart,Michael Cardenas,Soul,2023,0.475,0.283,106,3420709
36,Love Sky,Michelle Irwin,Soul,2008,0.666,0.335,122,1424283
37,Love Night,Stephanie Perez,Alternative,2007,0.94,0.667,121,1910368
38,Shadow Forever,Erika Kelly,R&B,2017,0.391,0.769,135,9546769
39,Forever Love,Nicholas Munoz,Soul,2004,0.424,0.404,83,1792517
40,Dream Heart,Samantha Taylor,R&B,2009,0.811,0.382,88,4274306
41,Broken Lonely,Paul Shah,Alternative,2001,0.595,0.471,122,3135635
42,Forever Forever,Carlos Lee,Soul,2023,0.516,0.297,128,1420563
43,Broken Paradise,Edward Boyer,Rock,2019,0.504,0.679,109,3856449
44,Night Heart,Alejandra Lopez,Rock,2017,0.66,0.853,133,3405568
45,Fire Lonely,Jessica Moreno,Hip-Hop,2011,0.589,0.796,125,2272731
46,Shadow Lonely,Michael Lopez,Hip-Hop,2018,0.805,0.608,139,5637843
47,Light Lonely,Kimberly Foster,Hip-Hop,2019,0.754,0.818,110,6033522
48,Paradise Broken,Regina Perez,Alternative,2000,0.291,0.478,114,3115964
49,Sky Dream,Diana Scott,Pop,2000,0.887,0.602,123,5853137
50,Sky Lonely,Cole Freeman,Pop,2019,0.616,0.844,144,1407716
51,Paradise Night,Alison Woodward,R&B,2023,0.689,0.487,116,2841503
52,Heart Forever,Charles Thompson,Pop,2015,0.454,0.724,44,4155268
53,Shadow Love,Alexander Carter,Soul,2000,0.607,0.352,112,1365474
54,Dream Dream,Ryan Wade,Pop,2019,0.76,0.823,89,2344028
55,Light Heart,Derrick Rosales,Soul,2009,0.374,0.256,97,2827411
56,Heart Shadow,Bridget Phillips,Hip-Hop,2005,0.889,0.356,147,2859707
57,Dream Light,Arthur Schmidt,Electronic,2012,0.812,0.804,143,4642082
58,Fire Light,Nicholas Miller,Electronic,2017,0.656,0.993,139,2534880
59,Light Forever,Tracy Mayer,Rock,2020,0.655,0.866,144,2249886
60,Paradise Shadow,Tina Foster,Alternative,2012,0.519,0.328,105,5046855
61,Forever Sky,Matthew Klein,Electronic,2000,0.938,0.874,127,2151530
62,Night Sky,Jose Russell,Soul,2020,0.392,0.514,119,4399054
63,Night Forever,Brian Weber,Soul,2011,0.523,0.212,97,3607607
64,Forever Night,Alice Bray,Hip-Hop,2018,0.643,0.672,170,9681124
65,Broken Love,Sean Martinez,Pop,2012,0.909,0.737,125,3429839
66,Broken Lonely,Katie Robertson,Electronic,2017,0.649,0.978,113,2759903
67,Paradise Light,Darren Mays,Rock,2011,0.556,0.934,102,1915186
68,Dream Fire,James Fisher,Hip-Hop,2014,0.721,0.844,92,1342190
69,Love Lonely,Brittany Escobar,Alternative,2000,0.657,0.329,121,2236040
70,Heart Forever,Dustin Hernandez,Alternative,2003,0.812,0.435,119,3171318
71,Heart Broken,Joe Collins DVM,Electronic,2000,0.937,0.817,118,1384092
72,Light Sky,Donald Ochoa,Pop,2019,0.952,0.688,122,3238736
73,Heart Broken,Toni Garcia,Soul,2014,0.25,0.218,72,1461049
74,Forever Lonely,Ruth Allen,Rock,2014,0.687,0.794,161,4543769
75,Paradise Fire,Brooke Gardner,Pop,2005,0.586,0.498,104,3036653
76,Dream Sky,Kyle Mccormick,Pop,2016,0.735,0.838,87,6269878
77,Lonely Night,Francisco Smith,Alternative,2009,0.345,0.324,102,4311402
78,Fire Light,Steve Gordon,Electronic,2009,0.836,0.706,135,2027211
79,Fire Light,Jeanette Bryan,R&B,2009,0.497,0.445,113,1761059
80,Fire Fire,Tina West MD,Rock,2023,0.663,0.871,169,3115439
81,Night Fire,Christine Wood,R&B,2000,0.883,0.715,121,1670602
82,Heart Love,Daniel Wolf,Electronic,2010,0.818,0.841,133,4267956
83,Light Heart,Destiny Sandoval,Alternative,2022,0.231,0.802,145,1718114
84,Forever Night,Christina Watson,Rock,2011,0.738,0.796,111,4300152
85,Broken Broken,Daniel Reed,Rock,2015,0.458,0.793,120,1466352
86,Sky Dream,Michael Dominguez,R&B,2012,0.659,0.625,109,4249279
87,Light Shadow,Ronald Lloyd,Soul,2001,0.335,0.436,97,4757078
88,Heart Shadow,Robin Schultz,Soul,2000,0.516,0.442,112,4098689
89,Fire Fire,Mr. Joseph Lee DDS,Soul,2020,0.129,0.287,120,4839035
90,Forever Heart,Gregory Trujillo,Electronic,2012,0.727,0.862,137,4504895
91,Fire Heart,James Taylor,R&B,2021,1,0.412,85,4138136
92,Fire Love,Jonathan Myers,Soul,2000,0.13,0.356,89,4044929
93,Love Light,Mrs. Barbara White,Rock,2022,0.53,0.761,142,6498514
94,Lonely Shadow,Raymond Knapp,Hip-Hop,2021,0.723,0.609,126,2788635
95,Night Lonely,Steve Scott,Alternative,2008,0.499,0.581,130,3592677
96,Night Love,Dustin Baker,Alternative,2020,0.353,0.454,105,3718353
97,Sky Paradise,Alexander Hendricks,R&B,2019,0.74,0.41,121,5189875
98,Paradise Heart,Gary Smith,Soul,2014,0.386,0.248,76,1791781
99,Broken Light,Michael Smith,Soul,2022,0.349,0.453,137,4240598
100,Night Sky,James Beck,Hip-Hop,2001,0.695,0.439,124,3956847
101,Shadow Broken,Rodney Carlson,R&B,2013,0.658,0.06,147,1679705
102,Light Dream,Miranda Hernandez,Soul,2019,0.582,0.352,128,4783374
103,Heart Forever,Jonathan Smith,Rock,2000,0.472,0.729,158,2313130
104,Dream Light,Jackie Holland,Rock,2006,0.5,0.851,125,8988078
105,Shadow Sky,Gene Cohen,Electronic,2023,0.785,1,138,3386058
106,Paradise Lonely,Kelly Kim,Rock,2008,0.314,0.717,127,1179713
107,Dream Fire,Emily Pennington,Electronic,2022,0.745,0.73,129,2104068
108,Broken Forever,Sharon Ramirez,Hip-Hop,2011,0.59,0.386,130,1996168
109,Forever Dream,Patrick Dennis,R&B,2008,1,0.505,103,1955720
110,Forever Broken,Susan Obrien,Electronic,2007,0.716,0.86,137,3720882
111,Broken Broken,Jerome Mccormick,Rock,2001,0.532,0.832,126,4152432
112,Paradise Paradise,James Lambert,Electronic,2010,0.787,0.829,143,5144143
113,Forever Dream,Mitchell Simmons,R&B,2019,0.729,0.476,121,928715
114,Forever Fire,Linda Wilson,R&B,2000,0.323,0.478,135,3026042
115,Shadow Paradise,Laurie Anthony,Electronic,2004,0.706,0.713,135,2598883
116,Shadow Lonely,Gloria Martinez,Hip-Hop,2006,0.671,0.577,124,8985045
117,Love Fire,Renee Lyons,Electronic,2020,0.837,0.829,129,5112338
118,Lonely Light,Heather Dickson,R&B,2001,0.913,0.391,95,2250055
119,Paradise Love,Betty Jones,Rock,2006,0.641,0.77,133,2974812
120,Paradise Lonely,Alison Neal,Rock,2004,0.416,0.812,99,10909905
121,Shadow Forever,Sandra Brown,Rock,2016,0.374,0.802,141,2553109
122,Sky Heart,Nicholas Lawrence,Hip-Hop,2015,0.663,0.633,151,2912377
123,Shadow Heart,Tammy Ramirez,Electronic,2006,0.651,0.966,136,2461798
124,Forever Sky,Justin Malone,Pop,2004,0.665,0.76,124,3019975
125,Night Heart,Brian Taylor,Electronic,2003,0.83,0.673,133,5814653
126,Lonely Paradise,Robert Velasquez II,Hip-Hop,2023,0.793,0.469,133,6551353
